x,y,z
0.049161451881741085,-0.004560871027384909,0.00789620822615626
0.0017428673444665817,0.0009001500361454092,-0.0017184005767400302
4.7112160013329605e-05,5.2098655745294295e-05,-0.00020412416575757363
7.646585053940211e-06,5.8909097322480036e-06,-9.686191616252545e-06
3.290227910904586e-07,2.9856421034511253e-07,-7.922032654028597e-07
7.503061267605906e-09,1.3507355959911053e-08,-5.234019438943243e-08
-3.956341800596143e-10,5.700401481348926e-10,-2.545283336423707e-09
-1.618976024304876e-11,3.134089723245318e-11,-8.847090046072643e-11
-7.548207160864897e-13,1.3975308057822424e-12,-6.368531844903858e-12
3.173890029651525e-14,3.813016050228115e-14,-3.792661272032777e-13
3.539085767695181e-15,1.2289769554060167e-15,-1.4539286012027702e-14
4.108657897364649e-16,7.050679572079155e-17,-7.963041007864726e-16
2.359041175123939e-17,3.1109636925698274e-18,-2.8001867225761494e-17
1.0225066080017346e-18,5.338265422913872e-20,-8.191993567854722e-19
3.9320405929088544e-20,4.444669327692627e-21,-6.904579705213317e-20
1.3234928556475164e-21,2.438492964313369e-22,-4.83612426475293e-21
6.442657304348689e-23,8.097242542507858e-24,-1.656423143220852e-22
1.7047976714941574e-24,7.798621160128068e-25,-1.176226284249684e-23
9.478432341571341e-27,1.6230832444099352e-26,-4.145566110186678e-25
3.216275906921306e-27,8.737175862602034e-28,-1.1594096523944858e-26
-2.4171557597121424e-29,7.157596270982989e-29,-1.018311982873734e-27
-2.4741860368090552e-29,1.5663993497369937e-32,-4.9528920008777314e-29
-1.2834376051801239e-30,-1.396437755112362e-31,-1.293560581035581e-30
-5.072449878591539e-32,-9.824786932940472e-33,-6.679742473351979e-33
-3.7572862513096296e-33,-1.2741140996905315e-33,2.269453021669213e-33
-2.232775295792897e-34,-4.3503646310322746e-35,2.567982990972065e-34
-1.291973672298302e-35,-1.3290665477094183e-36,5.648795838742028e-36
-6.6104787113066006e-37,6.59677055414325e-38,6.303129201634745e-37
-3.279714438506069e-38,1.1124339274591431e-39,5.001162286134244e-38
-1.5143818774783978e-39,4.875773518724194e-41,3.4233869528840015e-39
-6.257918820391214e-41,2.3278087173399813e-43,2.157886790150158e-40
