timestamp,frame_x,frame_y,world_x_m,world_y_m,world_x_smooth_m,world_y_smooth_m,time_elapsed
1780080233.0155387,585,114,2.4203,-0.7315,2.4207,-0.7319,0.000
1780080233.087154,584,113,2.4238,-0.7350,2.4229,-0.7341,0.072
1780080233.1572046,584,113,2.4238,-0.7350,2.4241,-0.7353,0.142
1780080233.23089,584,113,2.4238,-0.7350,2.4238,-0.7350,0.215
1780080233.306746,584,113,2.4238,-0.7350,2.4238,-0.7503,0.291
1780080233.38651,584,113,2.4238,-0.7350,2.4239,-0.6892,0.371
1780080235.2941601,583,163,2.4243,-0.5570,2.4241,-0.6028,2.279
1780080235.369905,583,163,2.4243,-0.5570,2.4243,-0.5417,2.354
1780080235.446829,583,163,2.4243,-0.5570,2.4243,-0.5570,2.431
1780080235.5206273,583,163,2.4243,-0.5570,2.4243,-0.5570,2.505
1780080235.5910225,583,163,2.4243,-0.5570,2.4243,-0.5570,2.575
1780080235.6623657,583,163,2.4243,-0.5570,2.4243,-0.5570,2.647
1780080235.7444785,583,163,2.4243,-0.5570,2.4243,-0.5570,2.729
1780080235.8202732,583,163,2.4243,-0.5570,2.4243,-0.5570,2.805
1780080235.8937361,583,163,2.4243,-0.5570,2.4243,-0.5570,2.878
1780080235.9669306,583,163,2.4243,-0.5570,2.4243,-0.5570,2.951
1780080236.0390625,583,163,2.4243,-0.5570,2.4243,-0.5570,3.024
1780080236.124077,583,163,2.4243,-0.5570,2.4243,-0.5570,3.109
1780080236.1986516,583,163,2.4243,-0.5570,2.4243,-0.5570,3.183
1780080236.274253,583,163,2.4243,-0.5570,2.4243,-0.5570,3.259
1780080236.3437853,583,163,2.4243,-0.5570,2.4243,-0.5570,3.328
1780080236.4141147,583,163,2.4243,-0.5570,2.4243,-0.5570,3.399
1780080236.492987,583,163,2.4243,-0.5570,2.4243,-0.5570,3.477
1780080236.5715413,583,163,2.4243,-0.5570,2.4243,-0.5570,3.556
1780080236.6425147,583,163,2.4243,-0.5570,2.4243,-0.5570,3.627
1780080236.717698,583,163,2.4243,-0.5570,2.4243,-0.5570,3.702
1780080236.8029065,583,163,2.4243,-0.5570,2.4190,-0.5511,3.787
1780080236.877078,583,163,2.4243,-0.5570,2.4405,-0.5752,3.862
1780080237.4455683,582,163,2.4850,-0.6253,2.4675,-0.6059,4.430
1780080239.9536872,584,165,2.4777,-0.6180,2.4848,-0.6258,6.938
1780080240.0305102,584,165,2.4777,-0.6180,2.4771,-0.6174,7.015
1780080240.103698,584,165,2.4777,-0.6180,2.4777,-0.6180,7.088
1780080240.1839387,584,165,2.4777,-0.6180,2.4777,-0.6180,7.168
1780080240.2558522,584,165,2.4777,-0.6180,2.4777,-0.6180,7.240
1780080240.3291357,584,165,2.4777,-0.6180,2.4777,-0.6180,7.314
1780080240.4095309,584,165,2.4777,-0.6180,2.4777,-0.6184,7.394
1780080240.491304,584,165,2.4777,-0.6180,2.4777,-0.6171,7.476
1780080241.1414108,584,166,2.4777,-0.6144,2.4777,-0.6153,8.126
1780080241.2199364,584,166,2.4777,-0.6144,2.4788,-0.5978,8.204
1780080241.2971525,584,166,2.4777,-0.6144,2.4744,-0.6633,8.282
1780080241.3851118,588,114,2.4650,-0.8046,2.4682,-0.7557,8.370
1780080241.473637,588,114,2.4650,-0.8046,2.4639,-0.8209,8.458
1780080241.554183,588,114,2.4650,-0.8046,2.4650,-0.8046,8.539
1780080241.6472754,588,114,2.4650,-0.8046,2.4650,-0.8046,8.632
1780080241.7220173,588,114,2.4650,-0.8046,2.4650,-0.8046,8.706
1780080241.7997692,588,114,2.4650,-0.8046,2.4650,-0.8046,8.784
1780080241.8728297,588,114,2.4650,-0.8046,2.4650,-0.8046,8.857
