x,y,z
-5.785482551708093051e-03,-5.363369732044360738e-01,6.281265572084080429e-01
-5.821815479742430827e-03,-5.299582332494829906e-01,6.173766569062945075e-01
-1.438276877667465925e-02,-5.359828342408236024e-01,6.242077813776253370e-01
-1.786176370498704369e-02,-5.324292653817527254e-01,6.356759435081743570e-01
-2.022276722706853672e-02,-5.294756807142230182e-01,6.475903045896757027e-01
-1.131361540804267166e-02,-5.380402328478854912e-01,6.457126835908401086e-01
-1.532586311493284309e-02,-5.322500363538086310e-01,6.560386456718511061e-01
-1.354290150697481411e-02,-5.287829658490115214e-01,6.441621786037680097e-01
-9.636846168397245060e-03,-5.301401970191531587e-01,6.323659650060619031e-01
-1.395210309064195617e-02,-5.240791159702563595e-01,6.424104587321619597e-01
-1.823070159161599424e-02,-5.126542578480219881e-01,6.451337309833756750e-01
-1.826701286768188034e-02,-5.062755507614677963e-01,6.343838111048311079e-01
-1.786212716701417180e-02,-5.181824910385914862e-01,6.381667783008776462e-01
-1.287504815167621330e-02,-5.074744240816806418e-01,6.340782156021975702e-01
-1.753869092738738825e-02,-4.970176585638025890e-01,6.390938402855866896e-01
-2.251745511982006578e-02,-5.010144123610800193e-01,6.283473121857749977e-01
-2.197714700084114209e-02,-5.094832122296198973e-01,6.375254108953739562e-01
-1.813820955428830858e-02,-5.204731970253271278e-01,6.420787386313863143e-01
-1.604875865053798784e-02,-5.258706389683309723e-01,6.309993968010850773e-01
-1.415214184275529093e-02,-5.296144661122171859e-01,6.192249922301065190e-01
-1.259317910411693331e-02,-5.389977618864462139e-01,6.273350721059667290e-01
-9.400243979759723839e-03,-5.414791535069120032e-01,6.155072294912938835e-01
-1.405878795083531294e-03,-5.445983469443548275e-01,6.064181834690877126e-01
4.383257163109302752e-03,-5.480120707547850856e-01,5.958786201667682914e-01
9.065852519159697115e-03,-5.554058352147057676e-01,5.869536244893098775e-01
6.445623713853933581e-03,-5.548358957227270682e-01,5.991626199427971811e-01
9.599446967443874337e-03,-5.668107802704485110e-01,5.974580557891748800e-01
1.062825491124324076e-02,-5.695877100916496572e-01,5.853139125512661911e-01
1.272526400752917002e-02,-5.797157135405748285e-01,5.923336062047395156e-01
7.742683903889414909e-03,-5.836787858444865140e-01,5.815763782428190476e-01
1.287319967127347094e-02,-5.919037415426955384e-01,5.736847426884447154e-01
8.758273343718026710e-03,-5.902094960801868018e-01,5.853657920262183012e-01
6.556668710232899273e-03,-5.937376538117671299e-01,5.971537112683430459e-01
8.579327105424356184e-03,-6.060433336019616091e-01,5.980075835758446035e-01
1.039441098291576764e-02,-6.180224290013722754e-01,6.010827655102102263e-01
8.800411420655400441e-03,-6.085682793783822042e-01,5.930622779750543971e-01
8.659165588479901879e-03,-6.107507681983673775e-01,6.053694625501504500e-01
1.130219961226655231e-02,-6.228600641893847767e-01,6.069909808975630927e-01
6.786919903749943569e-03,-6.131395517611916146e-01,6.134232345684895726e-01
4.821031967452180794e-03,-6.008392446606553028e-01,6.144661774501336549e-01
2.025687661185636597e-03,-6.002094007077677373e-01,6.266333195469605544e-01
-2.412333584170443801e-03,-5.890207933286140118e-01,6.300051191170515930e-01
2.522581614285191592e-03,-5.878270126258557937e-01,6.185827069542151335e-01
4.048416903228668068e-03,-5.991842853042429473e-01,6.235761210147288125e-01
7.393672380203556577e-03,-6.021533863571412182e-01,6.119037731475948094e-01
9.858798158466077280e-03,-6.066979696935470567e-01,6.005230913931588477e-01
1.482878895610796263e-02,-6.027862125522446268e-01,6.113048977139368123e-01
1.807715993146427266e-02,-6.143049531438736777e-01,6.076970311436252770e-01
1.363998415188317180e-02,-6.031182462150557200e-01,6.110762409905843295e-01
1.059522724036468175e-02,-6.058376554630267030e-01,5.992616623399613651e-01
1.109552631624410174e-02,-6.182581129965563083e-01,6.005776925419021861e-01
1.295679739502679159e-02,-6.266422386573269332e-01,6.096602090916065642e-01
